,keluhan
94,prihal sering ada tutup jalan karena hajat di jl wonorejo dan raya jelidro barat area manuk surabaya barat prihal kena keluh saya yaitu kena sering nya tutup jalan di area wonorejo dan raya jelidro barat daerah manuk untuk acara hajat nikah dan acara hajat pribadi saya sangat keluh jika warga sana ada acara hajat main enak saja tutup jalan dan buat panggung sehingga kami masyarakat area sana alih lalu jalan kampung karena penting acara pribadi semata karena mereka pikir itu jalan wilayah merekasaya pernah coba tanya apakah mereka punya ijin untuk tutup jalan ini mereka jawab sudah ijin polisi polsek dan polres area sebut tetapi yang jadi tanda tanya saya jika mereka punya ijin polisi tidak pernah ada satu tugas polisi yang turun sana ketika ada acara hajat sebut saya curiga mereka dapat ijin atau cuman bohong saja karena yang jadi tugas sana hanya hansip semata saya sangat sayang kalau jalan utama yaitu akses hubung antara manuk tuju mall ptc yang itu sudah jalur padat dan ramai tapi main enak tutup saja hitung hampir tiap bulan ada saja hajat tempat sebut dan main tutup padahal jalan sebut bukan hakwilayah mereka lain hak seluruh masyarakat surabaya yang telah bayar pajak dengan tertib dan nikmat fasilitas jalan sebut dan itu bukan jalan kampungtetapi jalan umumkejadian akhir isteri saya yang mau pulang tuju rumah kontra kita yang lewat jalan sebut harus jalan kaki dengan gendong anak bayi 7bulan karena taxi online yang lewat tutup karena ada hajatant akhir istri saya dan orang tua saya lansia harus jalan kaki tuju kontra rumah kita jauh kurang lebih 500metersambil gendong bayi dan jadi sebut jadi di tanggal 9 februari 2019 kemarin saya harap kira pemkot surabaya ambil tindak disipilin tegas bagi masyarakat yang tutup jalan enak lebih jalan itu adalah jalan utama yang lalu kendara utama di wilayah manuk yaitu yang sering jadi di jl wonerojo raya je lidro barat kira polsek polres wilayah sebut tidak beri ijin untuk acara hajat pribadisaya yakin sekali kalau warga area manuk banyak yang keluh dan protes jika jalan area sebut tutup yang hampir tiap bulan selalu saja ada tutup jalan karena ada hajat tetapi mereka tidak tahu harus adu mana tetapi warga manuk tidak tahu harus lapor mana apa lagi area manuk adalah area yang padat duduk dan padat kendaraanterlebih jalan sebut adalah akses hubung tuju ke mall ptc mohon kira pemkot surabaya perhati prihal ini karena ini sangkut hak hak guna jalan warga masyarakat surabaya sampai polisi pun perhati hal ini terima kasih atas perhati
95,berapa biaya resmi urus shm di kota surabaya karena informasi yang di terima oleh orang tua saya tidak akurat ada yang kata murah dan ada pula yang kata mahal mohon informasi terima kasih
96,mohon batu sampai ke dinas kait kena lapu pju panjang jl ploso timur 3a mati sudah 2 hari ini e100ss sapawargasby
97,min mau daftar di e-health ga bisa2 nih lagi error ya
98,mohon perhati dan tindak nyata dari pihak kait untuk tertib bangun liar di panjang jalan simogunung kasihan nasib milik rumah atau ruko yang depan tutup dengan bangun liar dan makin kumuh mohon kalau bisa segera tindak lanjut dan bangun jalan kembar sesuai rencana tata kota terimakasih
99,apakah bpjs pbi nya orang ini sudah selesai
100,saya sedang di luar kota dan rencana domisili di luar kota klo mau pindah sini apa saya harus ngurus ke sby dulu
101,sapawargasby karamg asem akses utama jalan berlobang2 tambah parah tidak di tambal sudah lama depan alfamart ada 100 meter rusak
102,sapawargasby commandsurabaya e100ss salur air di depan kantor pgngagas jl ratna ini sdh lama genang lutut dan jentik sdh mulai banyak bisa minta tolong tim pematusan utk lancar alir krn di depan gudang pdamsurabaya tdk genang cegahdbd
103,salam dulur sapawargasby commandsurabaya di belah depan alfamart kapasari ada lubang yg ada sgt ganggu pngguna jalan khusus roda dua mhn prhatiannya trima kasih
104,e100ss min tanya dong kalau mau bikin ktp baru karena ktp lama rusak di siola ktp luar kota bisa kah makasih
105,assalamu alaikum pagi e100ss sapawargasby ini daftar ssw hari sabtu sudah selesai isi form reg sesuai presedur dan email tapi dah 3 jam no reply email apa krn sabtu juga libur ya mohon info tq wassalamu alaikum
106,mohon tunjuk cara urus baru kk karna rusak bagi tidak bisa baca kena air
107,saya milik bisnis kapal kayu wisata yang bisa pakai di sungai d surabaya seperti yang di lewat belah monkasel untuk itu perijinan apa saja ya yang butuh dan hubung dengan dinas apa saja yang kait tolong d tanggap sapawargasby ticsby
108,salah satu lampu pju gang kami yang sering mati hidup
109,sapawargasby karang asem aspal rusak parah tlg di tambal depan alfa mart bahaya
110,e100ss saya kemarin tgl 4 mau urus surat domisli usaha lewat rt saya minta biaya besar 1jt rupiah adu hal ini ke siapa ya tolong info
111,bagaimana cara dapat bantu bpnt dari perintah
112,e100ss sapawargasby lubang di pojok jalan semutkali ini mohon baik terima kasih
113,e100ss tanggul sungai balongsari krajan surabaya sdh jebol akibat proyek normalisasi sungai yg tidak perhati kuat tanggul tahan tanah mana hrs lapor masalah ini krn ancam longsor pada sisi sungai sangat besar
114,sapawargasby panjang sim luar kota di sim corner tunjung plaza bisa gak ya
115,untuk ktp saya janji minggu kemarin d cetak ulang namun pada tgl 6 februari di datang kembali masih belum di cetak ulang padahal janji senin tgl 4 feb 2019 sdh d cetakoleh tugas lurah keputrandan janji lagi di cetak pada tgl 7 feb 2019
116,sapawargasby syarat untuk ubah nama ayah yang salah ketik di akta lahir apa saya dan bagaimana ya
117,sudah dari oktober 2018 aju cetak e ktp ganti status dari tidak kawin jadi kawin dulu janji antar ke rt atau ke camat bawa tanda terima ambil e ktp saya tunggu 3 bulan kok tidak pak rt tidak ada antar e ktp akhir pada bulan januari ke camat krembangan tanya e ktp sudah cetak atau belum nyata ektp saya belum jadi malah minta fotokopi kk lagi mana pas awal saya sudah serah berkas fotokopi kk ke camat dan dulu tugas camat tidak memberitahukan jika ambil e ktp harus bawa kk bawa tanda terima sudah cukup saya kmudian suruh kembali lagi 7 hari kemudian telah itu nyata hasil nihil e ktp belum juga cetak alasanya kurir dari tugas yang di siola belum antar berkas atau apa itu ini harus bolak balik berapa kali lagi karna waktu saya tidak untuk ini saja saya juga kerja swasta yang tidak bisa waktu waktu ambil ijin terus untuk ecek e ktp saya sudah cetak belum dan saya sangat butuh e ktp saya yang baru untuk urus kartu bpjs calon bayi saya yang akan lahir 3 bulan lagi mohon jangan di rumit urusanya karna tau saya camat krembangan punya alat cetak e ktp sendiri tapi mengapa kita harus tunggu sangat lama
118,mohon informasi ijin ho saya akan habis masa bagaimana cara urus
119,
120,sapawargasby apabila ingin tahu informasi lengkap tentang sistem e-government semua aplikasi serta jelas pemkot surabaya bisa didaptkan mana ya
121,lampu merah ddpan pasar loak ada jaln lubang mmbhyakan kendara trutma pngendar motor mhon dtruskan pd dinas kait biar dtambal e100ss trimaksih
122,sapawargasby untuk urus akta mati berapa hari ya jadi
123,kondisi jalan di depan kampus stie ibmt jl raya kupang baru banyak lubang bahaya bagi kendara motor dan lalu lalang mahasiswa mohon respon pemkotsby cc e100ss at ibmt international university
124,sapawargasby jalan rusak depan bakul buah benowo tanggung jawab siapa min
125,mau tanya kalau mau lapor ttg pju di jalan sekitar suramadu wenang siapa ya kata sapawargasby bukan wenang pemkot sby mohon cerah thanks
126,jalan rusak lubang di jl sulawesi mohon dinas kait untuk laku baik
127,program suroboyo bus sangat harus apresiasi untuk atas masalah macet di surabaya turut saya perlu beri jadwal pasti kapan berangkat dari titik awal berangkat karena sampai saat ini berangkat masih ada molor2nya untuk sb rute su mungkin juga perlu pikir rute panjang hingga tanjung perak karena banyak kerja yang kerja sana dan juga ada surabaya north quay yang bisa jadi tempat wisata serta tumpang kapal yang akan pergi dengan moda kapal laut
128,sapawargasby selamat malam mohon informasi kena jumlah maksimal kk dalam satu alamat rencana saya mau pindah masuk ke surabaya ingat kerja di surabaya tks
129,kalo mau naik bus wisata di surabaya gimana ya sapawargasby
130,gorong gorong buntu sehingga air ke jalan semua lokasi depan lurah manuk kulon dan ga ada tanggap sekali kena hal ini
131,dispendukcapil kalau sabtu minggu buka nggak sih sapawargasby
132,sapawargasby jam operasional bis damri p1ac paling malem smp jam berapa ya kl naik dari arah purabaya
133,min min banggasurabaya sapawargasby nanya dong kalo mau ambik ktp yang masa laku umur hidup di mana ya di camat daftar atau ke siola langsung terima kasih
134,apakah benar memang prosedur urus pindah kk karena meni di lurah baru saja saya di info bahwa butuh skck
135,e100ss sapawargasby mohon info apa bisa panjang sim dari tuban di surabaya terima kasih
136,sapawargasby e100ss banggasurabaya selamat pagi min mohon maaf mau tanya untuk syarat urus ktp yang rusak di dispenduk apa saja ya
137,saya warga rumah the royal park residence trpr mau sampai mohon bantu kepada ibu risma untuk bantu kami warga yang rugi akibat developer yang nama sipoa anggun sertifikat rumah kami bank bukopin tolong bantu selesai karena tidak ada itikad baik dari pihak sipoa selaku developer besar harap kami ibu risma dengar dan bantu kami warga yg rugi kami hanya mau sertifikat yang jadi hak kami bisa beri karena kami telah lunas bayar cicil terimakasih atas perhati
138,apa itu ssw
139,ijin lapor e100ss sapawargasby lampu terang jalan umum di jalan kedung cowek arah empat jalan kenjeran sudah lama padam tepat di sekitar indo ret dan spbu sangat bahaya ingat jalan besar apalagi di musim hujan seperti sekarang mohon responnya
140,sini saya mau tanya dan belum itu saya kenal informasi tentang saya saya muchammad abdul fatah umur 23 tahun saya anak akhir dan punya 3 saudara kakak saya no 3 telah tinggal dunia tinggal dunia dia tidak punya istri dan anak dia tinggal sama ibu saya semua sudah meni dan pecah kk semua masuk saya dan keluarga saya mau ngurus surat terang ahli waris untuk cair dana kakak saya di kerja nya sini saya dan saudara2 saya tuju tidak mau ambil uang sama sekali semua nya untuk ibu saya terang lagi ayah saya sudah tinggal saya buat terang ahli waris ibu saya dan di tanda tangan oleh saudara2 saya dan rt rw rumah saya tapi lurah tidak mau tanda tangan sini jadi debat dia cuma mau tanda tangan orang yang sudah meni atau sudah punya anak sedang saudara saya belum meni dan tidak punya ahli waris lah ini surat terang ahli waris buat pak dan suruh di adil agama sedang di pa harus bayar 1 2 juta dan ada berkas2 yang kurang surat nikah ibu sama bapak ketilisut yang jadi perntanyaan kok lurah tidak mau tanda tangan padahal saudara2 saya semua sudah tuju dan sudah tanda tangan ahli waris di tuju ke ibu logika ini negara indonesia banyak islam semua sudah tau surga ada di telapak kaki ibu jatuh harta anak ya ke ibu toh kk cuma kakak saya dan ibu saja oke kalo kakak punya istri dan anak jatuh masih bisa di tanya dan bisa di gugat padahal saya sudah beri kata2 tambah apa bila ada pihak gugat saksi2 yang tanda tangan di bawah ini tidak ikut sangkut walau gak bakal ada yang gugat tolong di jawab karena saya tidak tau hukum di indonesia ini bagaimana apakah lurah tidak boleh tanda tangan kalo boleh arti ini lurah sensitif sama keluarga saya sudah lama kelurga saya di sulit gin sama lurah padahal lurah belum baik
141,mohon bantu e100ss sits dishubsby untuk lampu penyebrangan depan sma kartika wijaya jl karah no 182 kec jambang sby sudah 1 minggu lampu rusak sdh hubung comand center namun belum baik hingga saat ini sangat butuh untuk menyebrang anak sekolah dumm
142,pagesangaan sisiiih endiii yoo koo raa taau nemuu
143,
144,tempat parkir motot gedung siola sering penuh kalau pindah ke itc lebih mahal dan ada denda jika terlalu lama untuk yang mau ke koridor dalam jangka waktu lama repot mungkin bisa di buat lagi dengan manfaat jalan tanjung anom dan agar bisa daya guna juga tangga agar bisa langsung masuk koridor
145,saya ingin urus pindah datang ke surabaya di komplek rumah saya memang belum ada rt rw yang tunjuk jadi kami harus tumpang ke rt rw belah komplek saat ingin minta surat terang rt saya minta uang 500 000 yang kata untuk dana kas desa apakah cara seperti ini boleh turut saya surat terang ini jadi objek jual beli jika saya tidak bayar utk dana kas desa maka surat terang tidak keluar kecuali jika rt sampai agar bisa bantu sukarela untuk isi kas desa tentu saya lebih rela beri walaupun tidak besar itu tapi dalam kasus saya dana pungut patok di angka sebut dan tidak bisa tawar
146,mohon laku angkut sampah ranting pohon jl raya gubeng seberang gedung graha sa karena ganggu pejal kaki terima kasih
147,di mana itu mini agro wisata
148,
149,selamat siang mohon informasi untuk usaha di surabaya apakah untuk diri usaha yang perlu buat siup-tdp atau nib
150,
151,dmn itu ya smg terus maju sby mangrove
152,lanjut keluh pada tanggal 2 januari 2019 kena mohon mangkas pohon raksasa di jalan rang 5 akhir kemarin hari minggu 27 jan 2019 sudah ditindaklanjuti bagi kami ucap terima kasih banyak tapi yang jadi tanya mengapa kerja tengah ya yang lihat pangkas hanya bagi di bagi bawah badan pohon sedang bagi atas masih lebat tidak sentuh apakah ada timbang tentu ya karena turut kami kalau hanya bagi bawah dari badan pohon saja yang pangkas tidak ada efek aman dan selamat yang kami perlu kalau anda jadi hujan lebat serta angin kencang dahan2 pohon bagi atas malah riskan sekali kena sapu angin kencang maupun sambar petir yang bisa mungkin jadi patah yang kami harap di sini adalah cegah musibah belum jadi jadi kami minta tolong timbang dengan seksama kerja pikir cara seluruh untuk selamat warga sama bukan kes hanya karena ada keluh kemudian direspon dengan kerja ada yang penting di sini adalah cegah musibah jangan sampai sudah jadi celaka baru ada tangan nanti malah lebih susah dan berat terima kasih atas perhati
153,ada langgar kecil di tambak grinsing baru gang buntu b belakang jln perak timur 60 dekat duta thailand suara nya kencang sekali di pagi hari bukan azan sudah ingat rt rw masih tetap aja speaker arah ke lantai 2 persis dekat kamar tidur orang tua sakit tidak bisa tidur
154,lapor jadi upaya kriminalisasi dan degradasi genetik dengan guna alat militer lama lebih dari dua tahun emp dew ads dalam rumah - belah kiri belakang dan indikasi tagging yang tidak saya tahu persis istilah sangat besar mungkin juga timpa alm ayah saya dan keluarga alamat jl dukuh kupang 28 32 surabaya 60225
155,jalan rusak di beringin sambikerep karena proyek pdam laku serah berkas ke tim tpkpm dpubmp
156,
157,selamat siang mau lapor ada jalan rusak di jl dr soetomo di belah bca diponegoro dekat lampu merah mohon agar baik terima kasih
158,
159,selamat pagi mohon maaf kami mau tanya cara untuk kirim surat ke bu risma selaku walikota gmn ya agar bisa sampai kami dari serikat kerja ada masalah dengan usaha yang sampai saat ini belum selesai waktu apel hari kerja dulu bu risma sempat bilang jika ada masalah dengan usaha yg belum selesai beliau sedia awal
160,saya boleh ngk kesana mintak bantu untuk nyelesai jual tanah orang tua saya 10 tahun lebih ngk bisa jual boleh kesana ta saya
