,keluhan_clean
112,mohon informasi ijin ho akan habis masa bagaimana cara urus
113,sapawargasby apabila tahu informasi lengkap sistem e-government semua aplikasi jelas pemkot surabaya didaptkan mana
114,lampu merah ddpan pasar loak jaln lubang mmbhyakan kendara trutma pngendar motor mhon dtruskan pd dinas kait biar dtambal e100ss trimaksih
115,sapawargasby urus akta mati berapa hari jadi
116,kondisi jalan depan kampus stie ibmt jl raya kupang baru banyak lubang bahaya kendara motor lalu lalang mahasiswa mohon respon pemkotsby cc e100ss at ibmt international university
117,sapawargasby jalan rusak depan bakul buah benowo tanggung jawab siapa min
118,mau tanya kalau mau lapor ttg pju jalan suramadu wenang siapa kata sapawargasby bukan wenang pemkot sby mohon cerah thanks
119,jalan rusak lubang jl sulawesi mohon dinas kait laku baik
120,program suroboyo bus sangat apresiasi atas masalah macet surabaya turut perlu beri jadwal kapan berangkat titik awal berangkat sampai ini berangkat molor2nya sb rute su mungkin perlu pikir rute panjang hingga tanjung perak banyak kerja kerja sana juga ada surabaya north quay bisa jadi tempat wisata tumpang kapal akan pergi moda kapal laut
121,sapawargasby selamat malam mohon informasi kena jumlah maksimal kk satu alamat rencana mau pindah masuk surabaya ingat kerja surabaya tks
122,kalo mau naik bus wisata surabaya gimana sapawargasby
123,gorong gorong buntu air jalan semua lokasi depan lurah manuk kulon ga tanggap sekali kena ini
124,dispendukcapil kalau sabtu minggu buka sih sapawargasby
125,sapawargasby jam operasional bis damri p1ac paling malem smp jam berapa kl naik arah purabaya
126,min min banggasurabaya sapawargasby nanya dong kalo mau ambik ktp masa laku umur hidup mana di camat daftar ke siola langsung terima kasih
127,benar memang prosedur urus pindah kk meni lurah baru saya info butuh skck
128,e100ss sapawargasby mohon info apa panjang sim tuban surabaya terima kasih
129,sapawargasby e100ss banggasurabaya selamat pagi min mohon maaf mau tanya syarat urus ktp rusak dispenduk apa ya
130,warga rumah the royal park residence trpr mau mohon bantu ibu risma bantu warga rugi akibat developer nama sipoa anggun sertifikat rumah bank bukopin bantu selesai tidak itikad baik pihak sipoa selaku developer besar harap ibu risma dengar bantu warga yg rugi hanya mau sertifikat jadi hak bisa beri kami lunas bayar cicil terimakasih atas perhati
131,apa ssw
132,ijin lapor e100ss sapawargasby lampu terang jalan umum jalan kedung cowek arah empat jalan kenjeran lama padam tepat sekitar indo ret spbu sangat bahaya ingat jalan besar di musim hujan sekarang mohon responnya
133,sini mau tanya kenal informasi muchammad abdul fatah umur 23 tahun anak akhir punya 3 saudara kakak no 3 tinggal dunia tinggal dunia punya istri anak tinggal sama ibu semua meni pecah kk semua masuk keluarga mau ngurus surat terang ahli waris cair dana kakak kerja nya sini saudara2 tuju mau ambil uang sama sekali semua nya ibu terang ayah tinggal buat terang ahli waris ibu tanda tangan saudara2 rt rw rumah tapi lurah mau tanda tangan sini jadi debat cuma mau tanda tangan orang meni sudah punya anak sedang saudara belum meni punya ahli waris lah surat terang ahli waris buat pak suruh adil agama sedang pa bayar 1 2 juta dan berkas2 kurang surat nikah ibu sama bapak ketilisut jadi perntanyaan kok lurah mau tanda tangan padahal saudara2 semua sudah tuju dan sudah tanda tangan ahli waris tuju ibu logika negara indonesia banyak islam semua sudah tau surga telapak kaki ibu jatuh harta anak ke ibu kk cuma kakak dan ibu oke kalo kakak punya istri dan anak jatuh bisa tanya dan bisa gugat padahal sudah beri kata2 tambah apa bila pihak gugat saksi2 tanda tangan di bawah tidak ikut sangkut gak bakal ada yang gugat di jawab saya tidak tau hukum di indonesia bagaimana lurah tidak tanda tangan kalo boleh arti lurah sensitif sama keluarga saya sudah lama kelurga saya di sulit gin sama lurah padahal lurah belum baik
134,mohon bantu e100ss sits dishubsby lampu penyebrangan depan sma kartika wijaya jl karah no 182 kec jambang sby 1 minggu lampu rusak sdh hubung comand center belum baik hingga ini sangat butuh menyebrang anak sekolah dumm
135,pagesangaan sisiiih endiii yoo koo raa taau nemuu
136,tempat parkir motot gedung siola sering penuh kalau pindah itc lebih mahal ada denda terlalu lama yang mau koridor jangka waktu lama repot mungkin di buat dengan manfaat jalan tanjung anom daya juga tangga agar bisa langsung masuk koridor
137,ingin urus pindah datang surabaya komplek rumah memang ada rt rw tunjuk jadi harus tumpang rt rw belah komplek ingin minta surat terang rt minta uang 500 000 kata dana kas desa cara turut surat terang ini jadi objek jual beli bayar utk dana kas desa surat terang keluar jika rt agar bantu sukarela isi kas desa saya lebih rela beri walaupun besar tapi kasus saya dana pungut patok angka sebut tidak tawar
138,mohon laku angkut sampah ranting pohon jl raya gubeng seberang gedung graha sa ganggu pejal kaki terima kasih
139,mana mini agro wisata
140,selamat siang mohon informasi usaha surabaya untuk diri usaha perlu buat siup-tdp nib
141,dmn ya smg terus maju sby mangrove
142,lanjut keluh tanggal 2 januari 2019 kena mohon mangkas pohon raksasa jalan rang 5 akhir kemarin hari minggu 27 jan 2019 ditindaklanjuti ucap terima kasih banyak jadi tanya kerja tengah lihat pangkas bawah badan pohon sedang bagi atas lebat sentuh timbang ya turut kalau bagi bawah badan pohon pangkas efek aman selamat yang kami perlu kalau jadi hujan lebat angin kencang dahan2 pohon bagi atas malah riskan sekali kena sapu angin kencang maupun sambar petir yang bisa mungkin jadi patah yang kami harap sini cegah musibah jadi jadi kami minta timbang seksama kerja pikir cara seluruh selamat warga sama bukan kes karena keluh kemudian direspon kerja ada yang penting sini cegah musibah jangan sudah jadi celaka baru ada tangan malah lebih susah berat terima kasih atas perhati
143,langgar kecil tambak grinsing baru gang buntu b belakang jln perak timur 60 dekat duta thailand suara nya kencang sekali pagi hari bukan azan ingat rt rw tetap aja speaker arah lantai 2 persis dekat kamar tidur orang tua sakit bisa tidur
144,lapor jadi upaya kriminalisasi degradasi genetik guna alat militer lama lebih dua tahun emp dew ads rumah - belah kiri belakang indikasi tagging tidak tahu persis istilah sangat besar mungkin timpa alm ayah dan keluarga alamat jl dukuh kupang 28 32 surabaya 60225
145,jalan rusak beringin sambikerep proyek pdam laku serah berkas tim tpkpm dpubmp
146,selamat siang mau lapor jalan rusak jl dr soetomo belah bca diponegoro dekat lampu merah mohon baik terima kasih
147,selamat pagi mohon maaf mau tanya cara kirim surat bu risma selaku walikota gmn agar sampai dari serikat kerja masalah usaha sampai ini selesai waktu apel hari kerja dulu bu risma sempat bilang ada masalah usaha yg selesai beliau sedia awal
148,ngk kesana mintak bantu nyelesai jual tanah orang tua 10 tahun lebih ngk jual boleh kesana ta
149,assallamualaikum lyon armando warga surabay mintak bantu an selesai tanah orang tua temu buk risma walikota surabaya mintak bantu cepat selesai mintak solusi temu buk risma udah 10 tahun lebih ayah ngk jual karna yang halang i ortua saya temu buk risma cumak mintak bantu ajah gimana cara bisa temu buk risma keluarga saya orang ngk punya ingin sekali temu buk risma
150,mohon tanggap atas proyek yg henti hingga 3 minggu karna akibat lumpuh ekonomi warga khusus daerah bringin alasmalang - surabaya pak lurah bilang bukan jalan yang mau diskusi monggo hub pak rw 01 kasemun hampir 1 bulan belum tindak perintah kota surabaya mohon utk tanggap warga pinggir surabaya barat lokasi simpang empat jl alas malang kel bringin kec sambikerep surabaya
151,lanjut masalah pindah tps jl rapi
152,cara aju tempat tinggal rusun sumur welut gmn gak di sumur welut mana aja cara bagaimana
153,siang mahasiswa angkat 15 tahun lalu sempat partisipasi bagai presenter seminar internasional artesh 2018 topik aju kait revitalisasi kawasan kyakya luar duga dosen maupun profesional apresiasi karya sangat menghimbau dapat aju perintah kota utama bu risma apa saya kirim jurnal karya saya cara langsung dan bagaimana cara terima kasih banyak
154,mobil kena pohon tumbang kemarin siang 23-01-2019 tidak ganti rugi ingat tidak potong pohon ada wilayah pelihara pemkotterima kasih
155,urus surat pindah nikah lurah wiyung surabaya sidoarjo tanggal 23 januari urus surat pindah nikah tempel tembok lurah penggurusan makan waktu cuma 15 menit proses lama kurang lebih tunggu 2 jam nyata salah tulis nama harus buat ulang lurah saat sedang keluar akhir tinggal tanggal 24 kembali surat jadi suruh tunggu orang sedang seminar saya tunggu 2 jam selesai saya pulang proses ribet sekali profesional apa ada mekanisme sistem lebih baik saya tidak bisa cuti terus terus usaha
156,keluh buat akte anak baru lahir proses ribet selalu undur2 gaada jelas suruh keluraha simomulyo lalu simo mulyo 4 bulan tidak jadi jadi suruh balik nanti jadi sama simomulyo lalu simomulyo baru terus mohon tindak lanjut
157,mohon informasi subsidi listrik pln dasar data terima bantu sosial
158,mohon cerah kena kia kartu identitas anak sudah laku ya sampai warga urus maaf kalo saya belum jelas kena
159,assalamualaikum selamat pagi mhn ijin beri masuk pemkot kota surabaya khusus dkrth evaluasi tempat tanam sekitar u-turn perempatan2 jangan pasang jenis tanam yg rimbun tinggi halang pandang mata bbrp kali lihat nyaris jadi jadi laka lantas gara2 tanam yg halang pandang kendara u-turn terima kasih
160,mohon potong cabang2 ranting pohon ada depan gang setro baru 8 situ 3 pohon yg sdh sangat rimbun kuatir dapat roboh atap teras beberapa warung
161,assalamualaikum mau tanya form taspen yg perlu ttd lurah harus lampir surat terang ahli waris trims
162,lampu pju padam tgl 21 malam jl gunungsariu kantor dishub hingga taman ronggolawe mhn laku baik terima kasih
163,keluh layan ubah tulis nama kk mana jabat dispenduk kata cetak kk selesai waktu 2 hari hari senin tanggal 21 januari 2019 selesai hari 23 januari 2019 dapat ambil camat masuk camat wonocolo pada hari tanggal 23 januari 2019 jabat camat wonocolo kata selesai 1 minggu alas dispenduk baru cek 2 hari camat lalu buat akan selesai 1 minggu bagaimana maksud kata mudah kenapa malah rumit tidak jelas mohon tegas jelas
164,tanya prosedural pindah duduk lurah dupak lurah morokrembangan memang syarat milik bukti milik properti alamat tuju lurah morokrembangan minta sedia bukti milik lahan alamat tuju sedang lurah dupak sebut asal alamat tuju jelas antar resmi rt rw alamat tuju dispendukcapil sendiri syarat pindah kk duduk sebut sedia 1 ktp 2 kk lama3 antar rt rw lama ditujukami rasa sulit lurah morokrembangan turut ibu wiwid selaku lurah morokrembangan bila tunjuk bukti milik sah pindah kk lurah morokrembangan dapat beri minta buat surat nyata atas materai tanda tangan rt rw saksi saksi rt rw alamat tuju memang tinggal rt rw sebut tanya sebut sesuai wali pun perda laku beliau kata memang syarat sedia tunjuk edar wali perda nyata pindah kk tunjuk bukti milik lahan tunjuk antar rt rw alamat tuju antar resmi lurah dupak beliau kata semua syarat belum terima kata antar rt rw itu tidak sah mungkin alamat sebut adasaya sempat kata beliau rt rw beri surat antar stempel bila alamat tuju orang akan pindah kk hanya ada tentang alamat ada lalu untuk apa ada rt rw bila antar rt rw dari alamat tuju jelas mohon klarifikasi kena hal ini hanya urus pindah kk buat kk baru bukan urus skrk imb panggil kantor ibu lurah morokrembangan belum sudah di pingpong staf biah lama 3 x rasa tidak harga sedikit emosi lalu saat bu lurah keluar dengar suara oleh salah satu staf kami katai kamu sih tidak sopan lalu kami jawab maaf pak kami sudah sopan saat awal kami datang kemari oleh bapak kami di pingpong 3 tugas tanpa ada jelas dapat beri klarifikasi kami kena wali perda yang nyata kami harus bawa bukti milik lahan kami sempat rekam cakap kami ibu lurah staf beliau di dalam ruang beliau saya rekam cakap sebut seijin ibu lurah sendiri
165,pohon tumbang depan bri unit kenjeran mohon tugas bersih baru ada motor jatuh krna peleset untung apa2 e100ss
166,mohon laku fogging nyamuk demam darah sekitar jl juwingan 1 no 19 21 no 17 surabaya kec gubeng lurah kertajaya jadi wabah demam darah kurang lebih 5 orang yg kena masuk anak telah lapor puskesmas ngagel belum respon saya mohon segera beri fogging ada darurat terima kasih bu
167,selamat sore mohon pohon jl pakis tirtosari gg 1 tebang ganggu kabel listrik telpon terima kasih
168,selamat siang mau tanya camat dispendukcapil surabaya layan rumit sangat lama sekali rencana mau pindah kk ikut suami cetak kk lama ada nama adik yg milik kk luar kota meski data komputer nama adik hapus dispendukcapil surabaya pihak camat wajib bolak-balik wara-wiri urus hapus nama cetak kk lama versi baru yg nama adik dulu urus pindah kk rumit ruwet ribet lelet buang waktu buang tenaga buang duit lelah kecewa sekali mau pindah kk wajib cetak kk lama versi baru dulu padahal ujung2 nya nama ybs hilang kk versi baru mau cetak lembar kk baru nunggu 3 minggu urus hapus nama kk lama ruwet banget diombang-ambingkan rute rt - rw - lurah - camat - balik rt - rw - lurah - camat - dispendukcapil - camat - nunggu 3 minggu balik camat capek banget costly sekali kantor rt rw buka malam hari tiap hari ketua rt rw nya temu minta tanda tangan sampai 4 hari bolak-balik ke kantor rt minggu wara-wiri dari sidoarjo ke kantor rw wonokromo buah tanda tangan stempel lembar kertas ketua rt rw sering tempat bagai warga surabaya ber-domisili sidoarjo jujur rasa berat sekali bolak-balik sidoarjo-surabaya lama hari atas nama birokrasi perintah super ribet ruwet lelet tahu kalian berapa lama cuti kerja untuk urus kk tahu kalian berapa rupiah gaji potong gak masuk kerja berkat rumit prosedur perintah tahu kalian berapa rupiah buang untuk cetak lembar kk tahu kalian berapa hari saya tahan sakit akibat lelah bolak-balik wara-wiri sidoarjo-surabaya hapus nama kk dong birokrasi jangan rumit mau urus pindah kk tak perlu lah harus cetak kk lama versi baru dulu ujung nya nama ybs hapus dari kk sebut arti sekali urus pindah kk harus cetak kk 3 kali buang duit duit negara maupun duit untuk wara-wiri nya kan kasih catat apa gitu biar cetak kk nya cukup sekali jika benar finish juga cetak kk bikin langsung jadi di hari yg sama urus terlalu cetak kk harus nunggu 3 minggu kalian tidak timbang penting butuh kk sebut timbang ditindaklanjuti hal agar surabaya lebih maju terima kasih
169,mohon info bisa laku anting pohon banyak kabel kabel yg tutup ranting pohon jl menur pumpungan no 72 depan dealer honda
170,kalo pas ga bawa botol plastik gmn bus suroboyo
171,selamat sore mau buat paspor baru saudara mau buat panjang paspor kantor imigrasi suruh unduh aplikasi antri paspor register buat apoinment aplikasi coba buat appointment tampil nya selalu kuota habis silah coba tiap hari pagi siang sore coba selalu response nya semua kantor layan imigrasi selalu tampil nya kuota habis coba daftar lenmarc mall juga selalu gagal datang sendiri lenmarc mall siang hari waktu kantor nya sangat sepi antri sama sekali petugas2 nya juga nganggur bercanda2 minta ke tugas nya bantu tugas tolak bilang lewat aplikasi daftar dapat nomor antri rasa ada ga beres aplikasi sebut saya ga tahu entah error gimana mohon instasi kait ecek aplikasi itu aplikasi buat mudah layan masyarakat ini justru tambah sulit yang pada akhir tidak ada jalan selain hubung calo bikin paspor mana kalau lalu calo harga naik 3x lipat ditindaklanjuti segera terima kasih
